fallacies.df.Topic;fallacies.df.Intended.Fallacy;fallacies.df.Text;Eric;Pieter;Murilo
Is nuclear power a reasonable energy source?;No Fallacy;Renewable energy sources will not soon replace fossil fuels.;;;
Is nuclear power a reasonable energy source?;No Fallacy;Nuclear energy is not a reasonable source of energy.;;;
Is nuclear power a reasonable energy source?;No Fallacy;Nowadays, nuclear power is the most effective and safest energy source we have.;;;
Is plastic surgery an important field of medicine?;No Fallacy;Yes. Although many forms of plastic surgery can be used for superficial reasons, it is important because it is also used to reconstruct things for people after bad accidents, or for gender reassignment, skin grafts from burns, etc.;;;
Is plastic surgery an important field of medicine?;No Fallacy;Plastic surgery is very important, many people who got involved in severe accidents will tell you this. Think about victims of flames. Their bodies are often unrecognizably destroyed. Plastic surgery gives them their lifes back.;;;
Is plastic surgery an important field of medicine?;No Fallacy;Many people are superficial, and man as such is a social creature. So there is obviously a need for plastic surgeries.;;;
Is plastic surgery an important field of medicine?;No Fallacy;Plastic surgery is a crucial field of medicine.;;;
Is television an effective tool in building the minds of children?;No Fallacy;Well, depends on what is meant by building the minds - but in general, television is a really good tool for brainwashing the children, especially in early ages.;;;
Is television an effective tool in building the minds of children?;Ad Hominem;You want to sit around and watch tv? Better get a job.;;;
Is television an effective tool in building the minds of children?;No Fallacy;TV programs are driven by commercial interest, not science or experts.;;;
Is television an effective tool in building the minds of children?;No Fallacy;Some shows in TV serve educational purposes, but most of them are totally worthless. There is no chance that a mind of a child builds up, when it watches Celebrity-news.;;;
Is television an effective tool in building the minds of children?;Ad Hominem;People who don't think tv is good for kids are luddites;;;
Is television an effective tool in building the minds of children?;No Fallacy;Books are good for children, why not tv?;;;
Is television an effective tool in building the minds of children?;No Fallacy;Children are not active when sitting in front of a tv;;;
Is the Deutsche Post-strike justified?;No Fallacy;It is not justified, they are being paid just fine.;;;
Is the Deutsche Post-strike justified?;Ad Hominem;I know a woman that works at Deutsche Post, she does not look so tired... Why are they on strike?;;;
Is the Deutsche Post-strike justified?;No Fallacy;I support the strike in Deutsche Post. Everyone deserves fair working conditions.;;;
Is the Deutsche Post-strike justified?;No Fallacy;Yes because every employee should be able to fight for his rights.;;;
Is the Deutsche Post-strike justified?;Ad Hominem;Yes and do not ask silly questions.;;;
Is the Deutsche Post-strike justified?;No Fallacy;The strike is not justified, because the DP-workers work less than the average german worker but are paid average. Their conditions are ok.;;;
Is the grading system used in high school effective?;Ad Hominem;I guess the author of the question did go to a school with standard grading system. Asking such a stupid question is just a great example of inefficiency of the grading system...;;;
Is the grading system used in high school effective?;No Fallacy;It is not as effective as it could be. Many students can suffer due to ineffective policies.;;;
Is the grading system used in high school effective?;Ad Hominem;You're just a competitive idiot.;;;
Is the grading system used in high school effective?;No Fallacy;Grade systems are useless.;;;
Is the grading system used in high school effective?;No Fallacy;High school is supposed to prepare you for real life. The way these standardized tests are graded does not do that.;;;
Is the grading system used in high school effective?;No Fallacy;The grading system is not effective because it doesn't consider all types of learning styles of the students.;;;
Is the grading system used in high school effective?;No Fallacy;it gives students a feeling of their performance as compared to others in class.;;;
Is the grading system used in high school effective?;No Fallacy;No, the scandinavian schools use another system and their students are the worlds best. We are just average. It is not that effective.;;;
Is the grading system used in high school effective?;No Fallacy;I am glad, that you are able to dance your name, but please dont try to make every other child a softy as well.;;;
Is the grading system used in high school effective?;No Fallacy;The current grading system just fails.;;;
Is the grading system used in high school effective?;No Fallacy;No because many times there is favoratism going on.;;;
Is the grading system used in high school effective?;No Fallacy;It is not fair to judge students by grades.;;;
Is the legality of abortion desirable?;Ad Hominem;Are you medically trained and you know when they baby is formed?;;;
Is the legality of abortion desirable?;No Fallacy;There are many cases, where abortion should be legal.E.g.  if a mother would die during the birth-process, the state should leave the decision to her, as it is her life.;;;
Is the legality of abortion desirable?;No Fallacy;Sure it's desirable to be able to abort babies at any moment you wish. There are so many things to be happy about in this world, don't you think? It is a gorgeous day outside for instance.;;;
Is the legality of abortion desirable?;No Fallacy;yes Argument without content;;;
Is the legality of abortion desirable?;No Fallacy;After reminding the baby-carrier woman of the consequences and the possible health-related problems, the decision should be left to first her and second to the partner because woman is the labourer of the process and both parties are the initial responsibles.;;;
Is the legality of assisted suicide desirable?;Ad Hominem;You're going to hell if you think like that. That's called murder.;;;
Is the legality of assisted suicide desirable?;No Fallacy;Many people are already killing themselves, because they are terminally ill. It is their choice to chose if they want to live or die. A doctor should respect their choice and assist them either way.;;;
Is the legality of assisted suicide desirable?;Ad Hominem;no why death be allowed like this?;;;
Is the legality of assisted suicide desirable?;No Fallacy;Many other countries already allow it.;;;
Is the oppression of women by men a serious problem?;No Fallacy;We shouldn't allow men to oppress women.;;;
Is the oppression of women by men a serious problem?;No Fallacy;They should have the same rights, but it is fact, that they have not. Look at India, women are raped there on a daily basis.;;;
Is the oppression of women by men a serious problem?;Ad Hominem;yes we conitinue to repress them;;;
Is the oppression of women by men a serious problem?;Ad Hominem;Do you even know what you're talking about?;;;
Is there a good reason for the American war on terror?;No Fallacy;It would be a crime to look away and let the Islamic State continue decapitating people. When you see such a crime on the street you have to call police. When you see such crimes in another country, you have to get active as well. America does what is needed and fights the terror.;;;
Is there a good reason for the American war on terror?;No Fallacy;Terror has proven itself to be a real and unignorable danger, thus something has to be done.;;;
Is there a good reason for the American war on terror?;No Fallacy;The reason for the supporters of the war on terror is 9/11.;;;
Is there a good reason for the American war on terror?;No Fallacy;The islamist terrorists are a serious threat to each form of progressive society.;;;
Is there a good reason for the American war on terror?;Ad Hominem;Terrorists everywhere!;;;
Is there a good reason for the American war on terror?;No Fallacy;There are some reasons for America's war on terror.;;;
Is there a good reason for the American war on terror?;Ad Hominem;No, this is an excuse for American politicians to intrude in other countries' issues.;;;
Is there a good reason for the American war on terror?;No Fallacy;To find out if there is a reason for the American war on terror let's take a look at the results nearly one and a half decade later.;;;
Is there a good reason for the American war on terror?;Ad Hominem;It's detrimental to society;;;
Is tupac the most influential rapper in history?;Ad Hominem;he was a big influence;;;
Is tupac the most influential rapper in history?;Ad Hominem;eminem was like MLK for white people in the rap community...;;;
Is tupac the most influential rapper in history?;Ad Hominem;You only think about money, right?  You would even sell your mom.;;;
Is tupac the most influential rapper in history?;No Fallacy;He has made an important mark in the rap industry, but he did not live long enough to be the most influential rapper of all time.;;;
Is tupac the most influential rapper in history?;Ad Hominem;You have really bad taste in music if you think he is influential.;;;
Is tupac the most influential rapper in history?;No Fallacy;No Test for an Argument;;;
Is tupac the most influential rapper in history?;No Fallacy;Tupac Shakur was physically attractive man (although I'm a very poor judge of things like that) and that visual appeal lent him a great deal more attention than it was realized at the time. He was very photogenic and appealed to a wide range of people.;;;
Is tupac the most influential rapper in history?;No Fallacy;I dont think so, he lived too short in order to have the most influence. Dr. Dre for example had much more influence. He started the rap-movement with eazy-e and ice-cube. He just sold his headphone-brand for around 250 million dollars. This amount of money shows how influential Dr.Dre is. Tupac never had this much money.;;;
Is tupac the most influential rapper in history?;Ad Hominem;No he is just another storyteller who lost his life because of stupidity.;;;
Is Turkey ready to join the European Union?;No Fallacy;Current civil unrest in Turkey is partly based on resentment of other European governments. Given the governments aren't getting along, it seems like Turkey isn't ready.;;;
Is Turkey ready to join the European Union?;No Fallacy;Putin has nothing to say regarding the EU. It is our choice who joins and who does not. I think the country is ready. We are neighbours, we share much culture and many people from Turkey do already live in european countries. They are ready.;;;
Is Turkey ready to join the European Union?;Ad Hominem;Sure Turkey is ready to join the European Union.  It would be a good thing for them to unit with another country.;;;
Is Turkey ready to join the European Union?;No Fallacy;just do the best for those who need it give them a best;;;
Is Turkey ready to join the European Union?;Ad Hominem;Did you even understood what you're talking about?;;;
Is veganism the best for our bodies?;Ad Hominem;humans are omnivores, we need both meat and vegetables.;;;
Is veganism the best for our bodies?;Ad Hominem;Sounds great right? Not quite. In terms of micronutrients, a vegan diet is actually more susceptible to being nutritionally poor. A vegan diet is naturally low in calcium, vitamin D, iron, vitamin B12, zinc and omega-3 fatty acids. Therefore, if you follow a vegan diet it is essential that you get enough of these nutrients through specific vegan food sources – and may even need to take additional supplements.;;;
Is veganism the best for our bodies?;Ad Hominem;a vegan diet is generally thought to contain more cereals, fruits, vegetables, nuts and seeds than a non-vegan diet.;;;
Is veganism the best for our bodies?;Ad Hominem;Sure, you meat eaters kill your children;;;
Is veganism the best for our bodies?;Ad Hominem;I guess you are vegan. You can see what it makes out of people...;;;
Should animals have special rights?;No Fallacy;Yes,  now the law treats them as things,  but they are conscious as we are. They need special rights.;;;
Should animals have special rights?;No Fallacy;Animals have a conscious mind. That means they deserve protection through law, like humans do. Nevertheless they arent as intelligent as humans, thats why they need a special law.;;;
Should animals have special rights?;No Fallacy;If you don't allow animals to have rights, you shouldn't have them either.;;;
Should animals have special rights?;No Fallacy;Enkel rkekr fns d dk;;;
Should animals have special rights?;No Fallacy;The animals are a part of nature like us and we, as the human, occupy their natural places. not to harm them any further, they should have special rights.;;;
Should animals have special rights?;Ad Hominem;many people harms animals. japan still host annual whale hunts.;;;
Should animals have special rights?;No Fallacy;What kind of question is that? Of course not, rights were brought up by human mankind to overcome the unjust of the wilderness typical to nature. It's a purely social construct, nothing generally applicable to animals.;;;
Should animals have special rights?;Ad Hominem;Im glad you are no mayor, because then your city would collapse.;;;
Should animals have special rights?;Ad Hominem;Are you a lawyer? You sound like one. But not like a good one.;;;
Should animals have special rights?;Ad Hominem;Do not be so stupid. You would even give every lettuce leaf special rights.;;;
Should cellphones be used during class?;Ad Hominem;Classrooms are for learning not for talking on cellphones. Students should mute their phones during class if they really need to use them.;;;
Should cellphones be used during class?;No Fallacy;No. Students should pay attention to the teacher and his teaching-material. Cellphones distract.;;;
Should cellphones be used during class?;Ad Hominem;You are so oldschool and you will never be a digital native at all.;;;
Should cellphones be used during class?;Ad Hominem;Yes they should. If you think differently, you have obviously never been in a class.;;;
Should cellphones be used during class?;Ad Hominem;You nerd, go read some books instead of arguing.;;;
Should cellphones be used during class?;No Fallacy;Cellphones should be banned from class rooms.;;;
Should cellphones be used during class?;No Fallacy;We need to prevent another school tragedy so one way to do that would be to have 911 at hand at all times.;;;
Should Christians accept same sex marriage?;No Fallacy;Of course same-sex marriage should be allowed.;;;
Should Christians accept same sex marriage?;Ad Hominem;Well you're ugly.;;;
Should Christians accept same sex marriage?;Ad Hominem;You are such a right wing extremist!;;;
Should Christians accept same sex marriage?;Ad Hominem;Why would anyone think that? Bestiality is already a crime. You don't need to go there.;;;
Should Christians accept same sex marriage?;Ad Hominem;Yes, because if they don't, that makes them hateful intolerant bigots.;;;
Should Christians accept same sex marriage?;No Fallacy;Christians should follow the rules of their religion.;;;
Should Christians accept same sex marriage?;Ad Hominem;If you are christian and against same sex-marriage you have hitlers mindset.;;;
Should Christians accept same sex marriage?;No Fallacy;Adherents to a religion should follow the rules.;;;
Should Christians accept same sex marriage?;No Fallacy;Same-sex couples should have access to the same benefits enjoyed by heterosexual married couples.;;;
Should Christians accept same sex marriage?;Ad Hominem;Christians should accept same sex marriage;;;
Should computers be allowed in class rooms?;No Fallacy;Computers are bad for the development of childrens brains.;;;
Should computers be allowed in class rooms?;No Fallacy;Computers should be allowed in class rooms.;;;
Should computers be allowed in class rooms?;No Fallacy;No, because computers distract students. Very often they use computers for reasons not related to the class, which ultimately diminishes the educational effect of the class.;;;
Should computers be allowed in class rooms?;No Fallacy;Sure, if they are part of the education...;;;
Should computers be allowed in class rooms?;Ad Hominem;Maybe that's a problem your child would have, but mine is a genius.;;;
Should computers be allowed in class rooms?;Ad Hominem;I don't think these hackers need any encouragement..sending their sexts and snapchats.;;;
Should computers be allowed in class rooms?;Ad Hominem;You are too soft. Children need rules, like: NO COMPUTERS IN CLASSROOM.;;;
Should computers be allowed in class rooms?;Ad Hominem;What kind of dumb question is that? Stupid answers get stupid responses.;;;
Should countries adopt heavier penalties for drug use and drug trafficking?;No Fallacy;Rather than adopting stiffer penalties for drug use we should focus more on counseling. Drug trafficking is another story.;;;
Should countries adopt heavier penalties for drug use and drug trafficking?;No Fallacy;When the prohibition in the USA was introduced, people thought the same. But it turned out, that heavier penalties and more bans lead to more criminals, not less. Im sure that heavier penalties for drugs wont have a positive impace as well.;;;
Should countries adopt heavier penalties for drug use and drug trafficking?;No Fallacy;Countries shouldn't adopt heavier penalties for drug use.;;;
Should countries adopt heavier penalties for drug use and drug trafficking?;Ad Hominem;that is another case. The strict laws are for all drugs which are quite lot and a long list. Removing and adding drugs to that list is a different case;;;
Should countries adopt heavier penalties for drug use and drug trafficking?;Ad Hominem;Because drugs may harm our lives and gives lot of health problems;;;
Should countries disallow people coming from Ebola infected countries to enter?;No Fallacy;It would be going against people's human's rights to not allow them a country where their password allows them.;;;
Should countries disallow people coming from Ebola infected countries to enter?;No Fallacy;In order to prevent more people to become ill, yes.;;;
Should countries disallow people coming from Ebola infected countries to enter?;No Fallacy;They shouldn't be allowed to enter the country.;;;
Should countries disallow people coming from Ebola infected countries to enter?;No Fallacy;Disallowing people from Ebola infected countries to enter another country is against human rights.;;;
Should countries disallow people coming from Ebola infected countries to enter?;Ad Hominem;You damn racist. I would let everyone in, so you get mad.;;;
Should countries disallow people coming from Ebola infected countries to enter?;No Fallacy;Of course they should be allowed to enter the country.;;;
Should driving under the influence of alcohol be forbidden?;No Fallacy;Yes,  whoever drinks and drives has a bad reaction time. People might die.;;;
Should driving under the influence of alcohol be forbidden?;No Fallacy;It's irresponsible to drive under the influence of alcohol.;;;
Should driving under the influence of alcohol be forbidden?;Ad Hominem;You're probably a drug addict yourself.;;;
Should driving under the influence of alcohol be forbidden?;Ad Hominem;It will save numerous lives.;;;
Should driving under the influence of alcohol be forbidden?;No Fallacy;So far there is a limit of 0.5 per-mille. With this amount of alcohol you are able to drive safely. Therefore the answer is no.;;;
Should driving under the influence of alcohol be forbidden?;No Fallacy;So far there is a limit of 0.5 per-mille. With this amount of alcohol you are able to drive safely. Therefore the answer is no.;;;
Should economical growth always be the ultimate goal of every country?;No Fallacy;Endless growth is impossible.;;;
Should economical growth always be the ultimate goal of every country?;No Fallacy;With the goal in mind to improve everyone's situation, growth is good for a country.;;;
Should economical growth always be the ultimate goal of every country?;Ad Hominem;good life depends on the economy;;;
Should economical growth always be the ultimate goal of every country?;No Fallacy;Steady growth can't be the ultimate goal!;;;
Should economical growth always be the ultimate goal of every country?;No Fallacy;depends how you define growth. if any economic activity is growth, than going to doctors is economic growth and country is better, but should sick people be the goal? i doubt.;;;
Should economical growth always be the ultimate goal of every country?;No Fallacy;No, economical growth is a tool to establish a good economy, which allows us to live a good life. Growth for a good life,  not life for economical growth.;;;
Should economical growth always be the ultimate goal of every country?;No Fallacy;Economical growth should not be the main goal of a country.;;;
Should economical growth always be the ultimate goal of every country?;Ad Hominem;People who think otherwise are stupid.;;;
Should economical growth always be the ultimate goal of every country?;No Fallacy;Everyone should be as wealthy as possible as rapidly as possible.;;;
Should economical growth always be the ultimate goal of every country?;Ad Hominem;we should always try to grow our economy;;;
Should economical growth always be the ultimate goal of every country?;No Fallacy;Human dignity is important. But it is nothing compared to economical growth. A human life takes around 70 years and has a small impact compared to economical growth. It can have an impact on millions of lifes over many generations.;;;
Should economical growth always be the ultimate goal of every country?;No Fallacy;With the goal in mind to improve everyone's situation, growth is good for a country.;;;
Should economical growth always be the ultimate goal of every country?;No Fallacy;Definitely not!;;;
Should economical growth always be the ultimate goal of every country?;No Fallacy;No, economic growth in and out of itself has no value.;;;
Should Germany deport criminal refugees?;No Fallacy;Yes, refugees who commit crimes have no respect for the country they fled to. Furthermore the situation they fled from cannot have been that bad, because they risk getting sent back.;;;
Should Germany deport criminal refugees?;No Fallacy;Sorry,  but your argument is a racist one.  Germany has already acted like this in the past.  We may not act like this again, if we want to get a better reputation in the world.;;;
Should Germany deport criminal refugees?;No Fallacy;It will reduce crime;;;
Should Germany deport criminal refugees?;No Fallacy;Germany should deal with the criminal refugees there and not force them onto another country. Deal with your problems yourself.;;;
Should Germany deport criminal refugees?;No Fallacy;Yes. Criminals are a danger to Germany's society.;;;
Should Germany deport criminal refugees?;Ad Hominem;The germans are all criminals anyway after the holocaust;;;
Should Germany deport criminal refugees?;No Fallacy;What happens with Germany should stay in Germany. Where shall they send them, maybe to hel;;;
Should gorillas be held in zoos;Ad Hominem;the natural habitat of the guerrilla is in jeopardy of not existing. Zoo's provide something of a to ensure survival of the species. Zoos may not always be ideal, but it is better than the alternatives.;;;
Should gorillas be held in zoos;No Fallacy;Gorillas should live freely in nature.;;;
Should gorillas be held in zoos;No Fallacy;That Gorillas should be held in Zoos;;;
Should gorillas be held in zoos;No Fallacy;Maybe he looked healthy, but other gorillas are suffering. Thats just natural, because these animals are wild. They need more space than zoos can provide. Furthermore they are used to other climate conditions.;;;
Should gorillas be held in zoos;No Fallacy;No,because they are near to human in terms of evolution and I would not want to be held in a zoo?;;;
Should gorillas be held in zoos;No Fallacy;There are more gorillaz raised in zoos and re-introduced into the wild than captured and kept.;;;
Should gorillas be held in zoos;No Fallacy;Gorillas are almost extinct;;;
Should gorillas be held in zoos;Ad Hominem;My psych teacher believes that institutions such as zoos protect endangered species so that they continue to live.;;;
Should gorillas be held in zoos;No Fallacy;They should not.;;;
Should gorillas be held in zoos;Ad Hominem;est für ContraArgu;;;
Should high schools provide daycare services for students who have children?;No Fallacy;High schools should provide  daycare services for students who have children, because it is not legit to exclude students who have children from certain possibilities to advance in society and to cut down their freedom in educational issues in an unproportional manor;;;
Should high schools provide daycare services for students who have children?;Ad Hominem;I think it would help those people get an education which would be good for their children.;;;
Should high schools provide daycare services for students who have children?;Ad Hominem;Im sure you have no children. That is the reason why you write something like this.;;;
Should high schools provide daycare services for students who have children?;No Fallacy;Yes, our society definitly wants students to have children, for two reasons: First: students are smart, therefore their children might be smart, too. Second: older women have higher risks at giving birth. Students have the perfect age.;;;
Should high schools provide daycare services for students who have children?;No Fallacy;Children need daycare. But university is not the right place for daycare services. University is a place for education. There are enough existing public and private daycare-services. Put your children there.;;;
Should high schools provide daycare services for students who have children?;No Fallacy;The main point of high schools is educating, thats true. Nevertheless university provides services, which you can get outside of university as well. Think about sport-fields or dining-halls. Why not daycare?;;;
Should high schools provide daycare services for students who have children?;No Fallacy;Yes, there is obviously a need for it. Ive read that about 5 percent of all students have children. Students usually have to attend lectures and wont be home until 4pm.;;;
Should high schools provide daycare services for students who have children?;No Fallacy;Definitely not.;;;
Should high schools provide daycare services for students who have children?;Ad Hominem;Im sure the only thing YOU do is getting children. BETTER GO TO UNIVERSITY AND STUDY!!;;;
Should high schools provide daycare services for students who have children?;No Fallacy;Spending resources on daycare services is a waste.;;;
Should high schools provide daycare services for students who have children?;No Fallacy;Yes. It will allow the mothers to go to school and help the children to grow up better.;;;
Should high schools provide daycare services for students who have children?;No Fallacy;Of course they should.;;;
Should high schools provide daycare services for students who have children?;No Fallacy;I don't think daycare services should be provided by high schools themselves, rather existing facilities (kindergarten) should be used. The main point of high schools is to educate people, not to care about babies.;;;
Should jobs be subcontracted into developing countries?;No Fallacy;I own a computer-factory. And im outsourcing my support-callcenter to india. I dont want those people to work like animals. I pay less money than in germany, yes, but it is still a lot of money for the workers there.;;;
Should jobs be subcontracted into developing countries?;No Fallacy;People are not being abused. Many new companies operate in other countries for fair wages, offering opportunities that they would not otherwise have. At the same time, American citizens benefit by manufacturing efficiency and not driving American business further into debt.;;;
Should jobs be subcontracted into developing countries?;No Fallacy;Jobs should not be subcontracted into developing countries.;;;
Should jobs be subcontracted into developing countries?;Ad Hominem;You are the only one who thinks about abusing these people.;;;
Should jobs be subcontracted into developing countries?;No Fallacy;They should;;;
Should jobs be subcontracted into developing countries?;Ad Hominem;I doubt you know much about working so you don't have a right to say whether they should or should not be.;;;
Should marijuana be legalized for individual use due to health condition?;No Fallacy;Under no circumstances should marijuana be legalized.;;;
Should marijuana be legalized for individual use due to health condition?;No Fallacy;I'm definitely against legalization.;;;
Should marijuana be legalized for individual use due to health condition?;No Fallacy;It shouldn't be legalized.;;;
Should marijuana be legalized for individual use due to health condition?;Ad Hominem;THAT IS TRUE, BUT DRUG ADDICTS ARE GOING TO GET MARIJUANA EITHER WAY. WE SHOULD HELP SICK PEOPLE.;;;
Should marijuana be legalized for individual use due to health condition?;No Fallacy;Marihuana should be allowed as medical drug;;;
Should marijuana be legalized for individual use due to health condition?;No Fallacy;Marijuana has been shown in some cases to alleviate negative side effects from chemotherapy treatments, even when other treatments for the same side effects were ineffective. Patients deserve legal access to medicines which, when prescribed by a physician, provide relief for their symptoms.;;;
Should marijuana be legalized for individual use due to health condition?;No Fallacy;No, see what alcohol did to our society. 100000s of alcoholics lost for the job market. Want the same for wheed?;;;
Should marijuana be legalized for individual use due to health condition?;No Fallacy;Marijuana has been shown to effective in treating glaucoma;;;
Should marijuana be legalized for individual use due to health condition?;No Fallacy;That Marijuana should be legalized;;;
Should marijuana be legalized for individual use due to health condition?;No Fallacy;If marijuana is provided by the pharmacies or health centers to the individuals with prescriptions for health purposes in a controlled way, that should be allowed.;;;
Should marijuana be legalized for individual use due to health condition?;Ad Hominem;yes anything to help people live loinger;;;
Should marijuana be legalized for individual use due to health condition?;No Fallacy;Medicine has proven, that marijuana is good to mitigate some bad effects of cancer-related side-effects. Make it easier for those patients and legalize it.;;;
Should marijuana be legalized for individual use due to health condition?;No Fallacy;People with some diseases, for whose no treatment exists, can get some pain relief, at least. These people are also no criminals.;;;
Should musicians be payed for streaming music? (by Apple);Ad Hominem;You silly boy, the musicians are too rich. They do not need this money.;;;
Should musicians be payed for streaming music? (by Apple);Ad Hominem;You have no idea how street is, you better stop talking!;;;
Should musicians be payed for streaming music? (by Apple);No Fallacy;Yes if musicians are paid they will be given loyalty for their music;;;
Should musicians be payed for streaming music? (by Apple);No Fallacy;Apple must pay the royalties for the streaming trial. The musicians don't ask for free iPhones either.;;;
Should musicians be payed for streaming music? (by Apple);No Fallacy;Apple shouldn't pay musicians any royalties for the three-months trial, because they can get rich enough from concerts.;;;
Should musicians be payed for streaming music? (by Apple);Ad Hominem;test withouz a rel;;;
Should musicians be payed for streaming music? (by Apple);Ad Hominem;of course who wants to work for free unless you volunterr.;;;
Should musicians be payed for streaming music? (by Apple);No Fallacy;Making money out of someone's else art product is stealing. Apple should simply avoid that and pay the royalties.;;;
Should non-European immigrans in Europe be accepted?;No Fallacy;good point tehe economy will grow;;;
Should non-European immigrans in Europe be accepted?;No Fallacy;Non-European immigrants should be accepted in Europe;;;
Should non-European immigrans in Europe be accepted?;No Fallacy;Refugees mostly flee from the war, poverty or tyranny in their countries. Unless these problems are solved to some extent and they have some other safe place to reside in, except EU, they should be welcome.;;;
Should non-European immigrans in Europe be accepted?;Ad Hominem;What is an immigran? A good gran. Anyone who says otherwise is a bad person.;;;
Should non-European immigrans in Europe be accepted?;No Fallacy;They are a menace to our society.;;;
Should non-European immigrans in Europe be accepted?;No Fallacy;Germany should help immigrants in need. Most of them left their homes not because of social or economical benefits, but because of the war.;;;
Should non-European immigrans in Europe be accepted?;No Fallacy;If they are political refugees, we have a duty to help them;;;
Should non-European immigrans in Europe be accepted?;No Fallacy;Accepting immigrants in Europe must be taken seriously and deserves coordination and investments, as we cannot directly influence the sources of immigration - ending the war in Libya or changing the regime in Eritrea.;;;
Should smoking at home be illegal?;No Fallacy;As long as they take the precautions and responsibilities, it is the householders who should decide together whether to smoke inside  or not.;;;
Should smoking at home be illegal?;No Fallacy;People are killing themselves doing it and raising the costs of all of healthcare because of it.;;;
Should smoking at home be illegal?;Ad Hominem;Being able to smoke at home should not be illegal as it is giving up your freedom.;;;
Should smoking at home be illegal?;Ad Hominem;If you are dumb enough to want to kill yourself then why should I have to be around it?;;;
Should smoking at home be illegal?;Ad Hominem;Because it brings health problems for my kids;;;
Should smoking at home be illegal?;No Fallacy;We need to be maximally nanny as a state, this is the best way forward.;;;
Should smoking at home be illegal?;Ad Hominem;do the best for best one who really need it....yes no smoking;;;
Should smoking at home be illegal?;Ad Hominem;Smoking at home should be legal, and those that think otherwise are conspiracy cases who see the government bogeyman under every rock.;;;
Should smoking at home be illegal?;No Fallacy;Smoking at home is dangerous, as exactly as eating cheese at home or walking up and down stairs. There is no explicit reason to make it illegal.;;;
Should smoking at home be illegal?;No Fallacy;Of course not. Home is the owners place.;;;
Should the fight versus the Islamic State include military operations?;No Fallacy;Yes, the Islamic state is becoming too big to fight without military operations.;;;
Should the fight versus the Islamic State include military operations?;Ad Hominem;Yeah, and you are a guy who loves war,  thats it. You like it when people die.;;;
Should the fight versus the Islamic State include military operations?;Ad Hominem;Anyone who doesn't believe so is a naive idiot!;;;
Should the fight versus the Islamic State include military operations?;Ad Hominem;The IS can do what he wants to because people like you close their eyes.;;;
Should the fight versus the Islamic State include military operations?;No Fallacy;A group that refuses any diplomatic way on problem-solving and uses weapons straight away cannot be defeated without being at level with them, even though the number of those operations should be kept as small as possible.;;;
Should the fight versus the Islamic State include military operations?;No Fallacy;You are correct. Many people have died, and that is horrible. But we must fight to prevent even more people from dying if ISIS is able to continue.;;;
Should the fight versus the Islamic State include military operations?;Ad Hominem;Yes, if you are not ready to join the military you are a traitor and a coward.;;;
Should the fight versus the Islamic State include military operations?;Ad Hominem;And people who can't get past that and take out the problem are destined to be oppressed. Maybe you should go to a rally and sing some hippy songs.;;;
Should the fight versus the Islamic State include military operations?;Ad Hominem;Yes, there is a fight;;;
Should the price for milk be increased?;Ad Hominem;they should work on how to make their production efficient and competitive, so they can compete with other countries.;;;
Should the price for milk be increased?;Ad Hominem;You are such a hippie. If you want to increase the price for milk, go ahead and help the farmers.;;;
Should the price for milk be increased?;No Fallacy;With the actual milk-price the cows can be appropriatly held and the farmers can still achieve some earnings.No.;;;
Should the price for milk be increased?;Ad Hominem;Of course it should. You must be bad at math if you think a farmer could financially survive the current situation on the market.;;;
Should the price for milk be increased?;No Fallacy;The price should stay as it is or even be decreased.;;;
Should the price for milk be increased?;No Fallacy;Decreasing the price will increase the demand;;;
Should the price for milk be increased?;No Fallacy;no;;;
Should the price for milk be increased?;No Fallacy;The price of milk should not be increased.  It is an important healthy drink.  if we increase it, things like pop might become the more affordable go to choice.;;;
Should the price for milk be increased?;No Fallacy;Farmers deserve to be paid enough;;;
Should the price for milk be increased?;No Fallacy;Cows are very loved.  They get massages to produce more milk!;;;
Should the title of a univsersity-doctor be shown on the identification-card?;No Fallacy;This is just one case, does not count for everyone.;;;
Should the title of a univsersity-doctor be shown on the identification-card?;Ad Hominem;Oh, only experts like you would ask this silly question!;;;
Should the title of a univsersity-doctor be shown on the identification-card?;Ad Hominem;Why do you want a university-doctor's title to be shown on their identification-card? You must be one yourself, you egotistic prick ! Does it make you feel respected that we all know your little title?;;;
Should the title of a univsersity-doctor be shown on the identification-card?;No Fallacy;Yes, because science is a fundamental of our society. By showing the doctor on the id-card you award someones effort for it.;;;
Should the title of a univsersity-doctor be shown on the identification-card?;No Fallacy;You say that just because you are a doctor.  The dr.  in the passport is only good to oppress the normal citizen.;;;
Should the title of a univsersity-doctor be shown on the identification-card?;No Fallacy;Yes. The title of a Dr. is as important as the familyname.;;;
Should the title of a univsersity-doctor be shown on the identification-card?;Ad Hominem;And if those people jump of the bridge? You would jump, right?;;;
Should we all home school our kids?;No Fallacy;Children should go to regular schools.;;;
Should we all home school our kids?;Ad Hominem;You are closed minded you need to get a life.;;;
Should we all home school our kids?;No Fallacy;We might not want to home school all children because it is important for them to learn how to interact with others.;;;
Should we all home school our kids?;No Fallacy;We should homeschool our kids.;;;
Should we all home school our kids?;No Fallacy;Of course it is reasonable for some people to school there children at home but to school all kids at home would be fatal.;;;
Should we all home school our kids?;No Fallacy;This is not true, there are no studies that would prove that.;;;
Should we all home school our kids?;No Fallacy;Homeschooling leads to socially maladapted children.;;;
Should we all home school our kids?;No Fallacy;Yes, homeschooling, everyone.;;;
